x,y,cat
78.7370833333333,17.49875,1
78.7379166666667,17.49875,1
78.7379166666667,17.4979166666667,1
78.72875,17.49625,1
78.7304166666667,17.49625,1
78.72875,17.4954166666667,1
78.7295833333333,17.4954166666667,1
78.72875,17.4945833333333,1
78.72875,17.49375,1
78.7279166666667,17.4929166666667,1
78.72875,17.4929166666667,1
78.7295833333333,17.4929166666667,1
78.7304166666667,17.4929166666667,1
78.7229166666667,17.4920833333333,1
78.72375,17.4920833333333,1
78.7245833333333,17.4920833333333,1
78.7254166666667,17.4920833333333,1
78.72625,17.4920833333333,1
78.7270833333333,17.4920833333333,1
78.7279166666667,17.4920833333333,1
78.72875,17.4920833333333,1
78.7295833333333,17.4920833333333,1
78.7304166666667,17.4920833333333,1
78.7229166666667,17.49125,1
78.72375,17.49125,1
78.7245833333333,17.49125,1
78.7254166666667,17.49125,1
78.72625,17.49125,1
78.7270833333333,17.49125,1
78.7279166666667,17.49125,1
78.72875,17.49125,1
78.7295833333333,17.49125,1
78.7304166666667,17.49125,1
78.73125,17.49125,1
78.7229166666667,17.4904166666667,1
78.72375,17.4904166666667,1
78.7245833333333,17.4904166666667,1
78.7254166666667,17.4904166666667,1
78.72625,17.4904166666667,1
78.7270833333333,17.4904166666667,1
78.7279166666667,17.4904166666667,1
78.72875,17.4904166666667,1
78.7295833333333,17.4904166666667,1
78.73125,17.4904166666667,1
78.7320833333333,17.4904166666667,1
78.7329166666667,17.4904166666667,1
78.73375,17.4904166666667,1
78.7345833333333,17.4904166666667,1
78.7229166666667,17.4895833333333,1
78.72375,17.4895833333333,1
78.7245833333333,17.4895833333333,1
78.7254166666667,17.4895833333333,1
78.72625,17.4895833333333,1
78.7270833333333,17.4895833333333,1
78.7279166666667,17.4895833333333,1
78.72875,17.4895833333333,1
78.7295833333333,17.4895833333333,1
78.7304166666667,17.4895833333333,1
78.73125,17.4895833333333,1
78.7320833333333,17.4895833333333,1
78.7329166666667,17.4895833333333,1
78.73375,17.4895833333333,1
78.7345833333333,17.4895833333333,1
78.7354166666667,17.4895833333333,1
78.73625,17.4895833333333,1
78.7370833333333,17.4895833333333,1
78.7229166666667,17.48875,1
78.72375,17.48875,1
78.7245833333333,17.48875,1
78.7270833333333,17.48875,1
78.7279166666667,17.48875,1
78.72875,17.48875,1
78.7295833333333,17.48875,1
78.7304166666667,17.48875,1
78.73125,17.48875,1
78.7320833333333,17.48875,1
78.7329166666667,17.48875,1
78.73375,17.48875,1
78.7345833333333,17.48875,1
78.7354166666667,17.48875,1
78.73625,17.48875,1
78.7370833333333,17.48875,1
78.7379166666667,17.48875,1
78.7270833333333,17.4879166666667,1
78.7279166666667,17.4879166666667,1
78.72875,17.4879166666667,1
78.7295833333333,17.4879166666667,1
78.7304166666667,17.4879166666667,1
78.73125,17.4879166666667,1
78.7320833333333,17.4879166666667,1
78.7329166666667,17.4879166666667,1
78.73375,17.4879166666667,1
78.7345833333333,17.4879166666667,1
78.7354166666667,17.4879166666667,1
78.73625,17.4879166666667,1
78.7370833333333,17.4879166666667,1
78.7379166666667,17.4879166666667,1
78.7270833333333,17.4870833333333,1
78.7279166666667,17.4870833333333,1
78.72875,17.4870833333333,1
78.7295833333333,17.4870833333333,1
78.7304166666667,17.4870833333333,1
78.73125,17.4870833333333,1
78.7320833333333,17.4870833333333,1
78.7329166666667,17.4870833333333,1
78.73375,17.4870833333333,1
78.7345833333333,17.4870833333333,1
78.7354166666667,17.4870833333333,1
78.73625,17.4870833333333,1
78.7370833333333,17.4870833333333,1
78.7379166666667,17.4870833333333,1
78.7245833333333,17.48625,1
78.7254166666667,17.48625,1
78.72625,17.48625,1
78.7270833333333,17.48625,1
78.7279166666667,17.48625,1
78.72875,17.48625,1
78.7295833333333,17.48625,1
78.7304166666667,17.48625,1
78.73125,17.48625,1
78.7320833333333,17.48625,1
78.7329166666667,17.48625,1
78.73375,17.48625,1
78.7345833333333,17.48625,1
78.7354166666667,17.48625,1
78.73625,17.48625,1
78.7370833333333,17.48625,1
78.7379166666667,17.48625,1
78.7245833333333,17.4854166666667,1
78.7254166666667,17.4854166666667,1
78.72625,17.4854166666667,1
78.7270833333333,17.4854166666667,1
78.72875,17.4854166666667,1
78.7295833333333,17.4854166666667,1
78.7304166666667,17.4854166666667,1
78.73125,17.4854166666667,1
78.7320833333333,17.4854166666667,1
78.7329166666667,17.4854166666667,1
78.73375,17.4854166666667,1
78.7345833333333,17.4854166666667,1
78.7354166666667,17.4854166666667,1
78.73625,17.4854166666667,1
78.7370833333333,17.4854166666667,1
78.7379166666667,17.4854166666667,1
78.7245833333333,17.4845833333333,1
78.7254166666667,17.4845833333333,1
78.72625,17.4845833333333,1
78.7270833333333,17.4845833333333,1
78.7279166666667,17.4845833333333,1
78.72875,17.4845833333333,1
78.7295833333333,17.4845833333333,1
78.7304166666667,17.4845833333333,1
78.73125,17.4845833333333,1
78.7320833333333,17.4845833333333,1
78.7329166666667,17.4845833333333,1
78.73375,17.4845833333333,1
78.7345833333333,17.4845833333333,1
78.7354166666667,17.4845833333333,1
78.73625,17.4845833333333,1
78.7370833333333,17.4845833333333,1
78.7379166666667,17.4845833333333,1
78.72625,17.48375,1
78.7270833333333,17.48375,1
78.7279166666667,17.48375,1
78.72875,17.48375,1
78.7295833333333,17.48375,1
78.7304166666667,17.48375,1
78.73125,17.48375,1
78.7320833333333,17.48375,1
78.7329166666667,17.48375,1
78.73375,17.48375,1
78.7345833333333,17.48375,1
78.7354166666667,17.48375,1
78.73625,17.48375,1
78.7370833333333,17.48375,1
78.7379166666667,17.48375,1
78.7254166666667,17.4829166666667,1
